Date,PS3 player count
8/23/2016,911600
8/24/2016,912700
8/25/2016,913400
8/26/2016,914100
8/27/2016,914800
8/28/2016,915900
8/29/2016,916800
8/30/2016,917600
8/31/2016,918200
9/1/2016,918700
9/2/2016,919400
9/3/2016,920300
9/4/2016,921000
9/5/2016,921700
9/6/2016,922100
9/7/2016,922600
9/8/2016,923000
9/9/2016,923600
9/10/2016,924900
9/11/2016,926000
9/12/2016,926700
9/13/2016,927200
9/14/2016,927700
9/15/2016,928200
9/16/2016,929000
9/17/2016,930100
9/18/2016,931800
9/19/2016,932600
9/20/2016,933300
9/21/2016,933700
9/22/2016,934100
9/23/2016,934800
9/24/2016,935900
9/25/2016,936700
9/26/2016,937600
9/27/2016,938400
9/28/2016,938800
9/29/2016,939300
9/30/2016,939900
10/1/2016,940700
10/2/2016,941300
10/3/2016,942100
10/4/2016,942700
10/5/2016,943100
10/6/2016,943700
10/7/2016,944600
10/8/2016,945900
10/9/2016,946900
10/10/2016,947900
10/11/2016,948300
10/12/2016,948900
10/13/2016,949300
10/14/2016,950100
10/15/2016,951000
10/16/2016,952200
10/17/2016,952800
10/18/2016,953700
10/19/2016,954200
10/20/2016,954800
10/21/2016,955300
10/22/2016,956200
10/23/2016,957100
10/24/2016,957900
10/25/2016,958300
10/26/2016,958900
10/27/2016,959400
10/28/2016,959700
10/29/2016,960500
10/30/2016,961500
10/31/2016,962000
11/1/2016,962600
11/2/2016,963200
11/3/2016,963600
11/4/2016,964000
11/5/2016,964700
11/6/2016,965600
11/7/2016,966200
11/8/2016,966600
11/9/2016,967100
11/10/2016,967900
11/11/2016,968300
11/12/2016,969400
11/13/2016,970200
11/14/2016,970900
11/15/2016,971300
11/16/2016,971800
11/17/2016,972400
11/18/2016,972800
11/19/2016,973900
11/20/2016,974700
11/21/2016,975400
11/22/2016,975900
11/23/2016,976500
11/24/2016,977200
11/25/2016,978300
11/26/2016,979400
11/27/2016,980000
11/28/2016,980600
11/29/2016,981000
11/30/2016,981400
12/1/2016,982000
12/2/2016,982700
12/3/2016,983600
12/4/2016,984000
12/5/2016,984500
12/6/2016,985100
12/7/2016,985600
12/8/2016,986000
12/9/2016,986500
12/10/2016,987300
12/11/2016,988000
12/12/2016,988600
12/13/2016,989300
12/14/2016,989700
12/15/2016,990200
12/16/2016,990900
12/17/2016,991600
12/18/2016,992900
12/19/2016,993500
12/20/2016,994100
12/21/2016,995100
12/22/2016,995800
12/23/2016,996900
12/24/2016,998300
12/25/2016,1001400
12/26/2016,1003300
12/27/2016,1005600
12/28/2016,1007300
12/29/2016,1008600
12/30/2016,1009900
12/31/2016,1011600
1/1/2017,1013500
1/2/2017,1014600
1/3/2017,1015300
1/4/2017,1016400
1/5/2017,1017300
1/6/2017,1018200
1/7/2017,1019100
1/8/2017,1020300
1/9/2017,1021100
1/10/2017,1021700
1/11/2017,1022400
1/12/2017,1023000
1/13/2017,1023600
1/14/2017,1024700
1/15/2017,1025700
1/16/2017,1026400
1/17/2017,1027100
1/18/2017,1027700
1/19/2017,1028400
1/20/2017,1029300
1/21/2017,1030500
1/22/2017,1031400
1/23/2017,1032000
1/24/2017,1032500
1/25/2017,1032800
1/26/2017,1033400
1/27/2017,1034100
1/28/2017,1035500
1/29/2017,1036300
1/30/2017,1036900
1/31/2017,1037500
2/1/2017,1038100
2/2/2017,1038500
2/3/2017,1039000
2/4/2017,1039600
2/5/2017,1040400
2/6/2017,1040800
2/7/2017,1041300
2/8/2017,1041600
2/9/2017,1042100
2/10/2017,1042900
2/11/2017,1043900
2/12/2017,1044700
2/13/2017,1045200
2/14/2017,1045600
2/15/2017,1046100
2/16/2017,1046700
2/17/2017,1047200
2/18/2017,1047800
2/19/2017,1048700
2/20/2017,1049600
2/21/2017,1050100
2/22/2017,1050500
2/23/2017,1051100
2/24/2017,1051700
2/25/2017,1052700
2/26/2017,1053700
2/27/2017,1054300
2/28/2017,1054900
3/1/2017,1055300
3/2/2017,1055900
3/3/2017,1056900
3/4/2017,1057900
3/5/2017,1058900
3/6/2017,1059600
3/7/2017,1059900
3/8/2017,1060400
3/9/2017,1060800
3/10/2017,1061300
3/11/2017,1061700
3/12/2017,1062500
3/13/2017,1062800
3/14/2017,1063300
3/15/2017,1063600
3/16/2017,1063800
3/17/2017,1064100
3/18/2017,1065000
3/19/2017,1065500
3/20/2017,1065900
3/21/2017,1066300
3/22/2017,1066800
3/23/2017,1067300
3/24/2017,1068200
3/25/2017,1069100
3/26/2017,1070200
3/27/2017,1070700
3/28/2017,1071000
3/29/2017,1071600
3/30/2017,1071900
3/31/2017,1072400
4/1/2017,1073300
4/2/2017,1074300
4/3/2017,1074600
4/4/2017,1075000
4/5/2017,1075300
4/6/2017,1075600
4/7/2017,1076000
4/8/2017,1076500
4/9/2017,1077200
4/10/2017,1077400
4/11/2017,1077900
4/12/2017,1078500
4/13/2017,1079100
4/14/2017,1079600
4/15/2017,1080200
4/16/2017,1081000
4/17/2017,1081300
4/18/2017,1081600
4/19/2017,1082200
4/20/2017,1082700
4/21/2017,1083400
4/22/2017,1084200
4/23/2017,1085100
4/24/2017,1085700
4/25/2017,1086000
4/26/2017,1086300
4/27/2017,1086600
4/28/2017,1086900
4/29/2017,1087400
4/30/2017,1088500
5/1/2017,1088900
5/2/2017,1089300
5/3/2017,1089600
5/4/2017,1090000
5/5/2017,1090100
5/6/2017,1090800
5/7/2017,1091100
5/8/2017,1091700
5/9/2017,1092000
5/10/2017,1092200
5/11/2017,1092300
5/12/2017,1092900
5/13/2017,1093600
5/14/2017,1094100
5/15/2017,1094400
5/16/2017,1094800
5/17/2017,1095200
5/18/2017,1095600
5/19/2017,1096000
5/20/2017,1096600
5/21/2017,1097200
5/22/2017,1097600
5/23/2017,1098100
5/24/2017,1098700
5/25/2017,1099200
5/26/2017,1099600
5/27/2017,1100200
5/28/2017,1101300
5/29/2017,1101800
5/30/2017,1102300
5/31/2017,1102900
6/1/2017,1103000
6/2/2017,1103600
6/3/2017,1104400
6/4/2017,1105000
6/5/2017,1105600
6/6/2017,1106200
6/7/2017,1106500
6/8/2017,1107000
6/9/2017,1107700
6/10/2017,1108300
6/11/2017,1109000
6/12/2017,1109700
6/13/2017,1110100
6/14/2017,1110500
6/15/2017,1110700
6/16/2017,1111200
6/17/2017,1112000
6/18/2017,1112600
6/19/2017,1113300
6/20/2017,1113700
6/21/2017,1113900
6/22/2017,1114400
6/23/2017,1114800
6/24/2017,1115400
6/25/2017,1116200
6/26/2017,1116900
6/27/2017,1117400
6/28/2017,1118000
6/29/2017,1118300
6/30/2017,1118800
7/1/2017,1119500
